ADDA,20210917,-36,-13,-90,-13,0
ADDC,20210917,15,15,-87,-45,0
ADDE,20210917,-538,-538,-1733,-1733,0
ADDN,20210917,110,110,-889,-621,0
ADDQ,20210917,244,244,-734,209,0
ADDS,20210917,-356,-356,-665,-583,0
ADDT,20210917,318,318,-1650,-425,0
ADDU,20210917,-23,-23,-1074,-929,0
ADDV,20210917,30,30,-197,-125,0
ADDX,20210917,-311,-311,-937,-753,0
ADRA,20210917,0.65,0.87,0.36,0.87,0
ADRC,20210917,1.17,1.17,0.57,0.77,0
ADRE,20210917,0.45,0.46,0.15,0.19,0
ADRN,20210917,1.11,1.11,0.4,0.53,0
ADRQ,20210917,1.18,1.18,0.61,1.13,0
ADRS,20210917,0.43,0.5,0.34,0.5,0
ADRT,20210917,1.13,1.13,0.52,0.85,0
ADRU,20210917,0.97,0.97,0.62,0.66,0
ADRV,20210917,1.14,1.14,0.61,0.75,0
ADRX,20210917,0.66,0.66,0.46,0.59,0
ADVA,20210917,69,93,52,92,115557900
ADVC,20210917,101,154,99,154,31824600
ADVE,20210917,458,499,305,415,566080800
ADVN,20210917,1034,1034,594,725,2280999000
ADVQ,20210917,1552,1719,1167,1719,3207806000
ADVS,20210917,277,586,277,586,242698200
ADVT,20210917,2655,2655,1834,2536,5604363000
ADVU,20210917,824,1910,824,1881,6345845000
ADVV,20210917,231,379,228,379,63376500
ADVX,20210917,609,1119,609,1119,337899300
AEX,20210917,803.67,804.47,788.03,789.49,0
AMX,20210917,1096.36,1102.14,1089.38,1089.38,0
AORD,20210917,7759.8,7759.8,7677.4,7702.9,0
ASHD,20210917,914,1837,377,1745,0
ASHF,20210917,-473,-175,-1456,-1301,0
ASHR,20210917,0.48,0.61,0.2,0.25,0
ASHU,20210917,441,540,194,444,0
ATX,20210917,3650.59,3674.12,3595.85,3605.76,0
AVDA,20210917,5.03,90.43,-292.74,-292.74,0
AVDC,20210917,0.81,3.32,-14.24,-11.22,0
AVDE,20210917,-0.86,-0.86,-741.59,-741.59,0
AVDN,20210917,5.73,30.04,-2454.28,-2454.28,0
AVDQ,20210917,23.71,323,-259.92,265.3,0
AVDS,20210917,-63.53,-63.53,-321.56,-321.43,0
AVDT,20210917,34.48,43.22,-2481.72,-2481.72,0
AVDU,20210917,-76.38,1005.66,-5109.15,-1804.99,0
AVDV,20210917,0.48,0.48,-33.76,-26.5,0
AVDX,20210917,-62.23,-62.23,-362.21,-359.16,0
AVLD,20210917,19.64,1244.77,8.06,902.66,0
AVLF,20210917,-8,10.52,-783.12,-576.75,0
AVLR,20210917,0.59,1.69,0.07,0.36,0
AVLU,20210917,11.63,497.88,6.02,325.9,0
AVRA,20210917,1.73,2.12,0.12,0.28,0
AVRC,20210917,1.39,1.69,0.68,0.73,0
AVRE,20210917,0.97,0.97,0.38,0.43,0
AVRN,20210917,1.03,1.13,0.35,0.48,0
AVRQ,20210917,1.16,1.22,0.73,1.09,0
AVRS,20210917,0.27,0.43,0.13,0.43,0
AVRT,20210917,1.11,1.11,0.53,0.69,0
AVRU,20210917,0.75,1.41,0.43,0.77,0
AVRV,20210917,1.1,1.1,0.52,0.7,0
AVRX,20210917,0.33,0.48,0.21,0.48,0
AVVA,20210917,11.88,210.33,5.1,115.55,0
AVVC,20210917,2.88,31.82,2.88,31.82,0
AVVE,20210917,29.87,566.08,29.87,566.08,0
AVVN,20210917,159.11,2282.32,159.11,2280.99,0
AVVQ,20210917,165.84,3207.8,165.84,3207.8,0
AVVS,20210917,24.27,242.73,14.84,242.69,0
AVVT,20210917,336.84,5604.36,336.84,5604.36,0
AVVU,20210917,238.76,6465.64,238.76,6345.84,0
AVVV,20210917,4.85,63.37,4.85,63.37,0
AVVX,20210917,32.01,337.89,26.27,337.89,0
AXJO,20210917,7460.2,7460.2,7376.1,7403.7,0
BANK,20210917,4458.1,4485.69,4426.27,4461.22,0
BCMA,20210917,2213,2213,1475,2053,0
BCMC,20210917,99.73,99.73,99.22,99.45,0
BCMD,20210917,1901,2861,1901,2391,0
BCME,20210917,167,237,159,237,0
BCMF,20210917,337,451,337,387,0
BCMG,20210917,56,56,30,35,0
BCMM,20210917,100.09,100.21,99.62,100.21,0
BCMU,20210917,224,224,62,68,0
BDMA,20210917,1918,1997,1918,1997,0
BDMC,20210917,99.73,99.81,99.73,99.79,0
BDMD,20210917,2343,2433,2343,2433,0
BDME,20210917,214,263,214,262,0
BDMF,20210917,318,363,318,361,0
BDMG,20210917,27,36,27,36,0
BDMM,20210917,99.98,99.98,99.97,99.98,0
BDMU,20210917,77,82,77,82,0
BEL,20210917,4174.7,4198.79,4130.57,4133.21,0
BFMA,20210917,1161,1233,1161,1233,0
BFMC,20210917,99.94,100,99.91,99.99,0
BFMD,20210917,3083,3175,3083,3175,0
BFME,20210917,217,261,217,261,0
BFMF,20210917,319,366,319,363,0
BFMG,20210917,21,33,21,33,0
BFMM,20210917,99.2,99.23,99.2,99.22,0
BFMU,20210917,94,104,94,104,0
BGMA,20210917,1075,1136,1075,1136,0
BGMC,20210917,98.33,98.52,98.33,98.49,0
BGMD,20210917,3206,3309,3206,3308,0
BGME,20210917,126,155,126,155,0
BGMF,20210917,401,464,401,463,0
BGMG,20210917,24,34,24,34,0
BGMM,20210917,98.38,98.42,98.38,98.42,0
BGMU,20210917,57,68,57,68,0
BKX,20210917,126.68,127.53,125.85,126.25,0
BTK,20210917,5910.49,5956.31,5856,5954.7,0
BUX,20210917,52331.61,52450.55,52070.38,52376.91,0
BVSP,20210917,113794,113794,111157,111439,0
BWH,20210917,263.58,264.69,261.27,262.01,0
CAC,20210917,6679.45,6697.08,6551.62,6570.19,0
CASH,20210917,1,1,1,1,0
COMP,20210917,15162.27,15166.56,14998.73,15043.97,0
CPC,20210917,0.97,0.97,0.97,0.97,0
CPCI,20210917,1.8,1.8,1.8,1.8,0
CPCS,20210917,0.65,0.65,0.65,0.65,0
CSE,20210917,1212.11,1212.5,1183.14,1205.1,0
CYM,20210917,24.12,24.15,23.91,23.92,0
DAX,20210917,15774.57,15791.9,15455.54,15490.17,0
DCFD,20210917,46.15,46.15,21.53,23.07,0
DCFI,20210917,46.15,46.15,33.84,35.38,0
DCOF,20210917,40,40,33.84,35.38,0
DCOH,20210917,52.3,52.3,44.61,44.61,0
DCSE,20210917,65321.68,65335.62,64422.72,64702.98,0
DCTH,20210917,55.38,56.92,52.3,55.38,0
DCTW,20210917,32.3,32.3,21.53,24.61,0
DECA,20210917,105,142,105,105,408300700
DECC,20210917,86,217,86,199,43054100
DECE,20210917,996,2148,996,2148,1307675000
DECN,20210917,924,1483,924,1346,4735279000
DECQ,20210917,1308,1912,1308,1510,2942503000
DECS,20210917,633,1183,633,1169,564132200
DECT,20210917,2337,3484,2337,2961,8086083000
DECU,20210917,847,2854,847,2810,8150843000
DECV,20210917,201,528,201,504,89882600
DECX,20210917,920,1907,920,1872,697068900
DIFD,20210917,43.33,50,23.33,23.33,0
DIFI,20210917,40,43.33,36.66,40,0
DIOF,20210917,46.66,50,43.33,50,0
DIOH,20210917,53.33,53.33,53.33,53.33,0
DITH,20210917,60,63.33,56.66,63.33,0
DITW,20210917,26.66,30,20,26.66,0
DJC,20210917,11416.58,11436.77,11318.13,11331.34,813022800
DJEC,20210917,2540.66,2547.91,2519.58,2534.14,0
DJI,20210917,34737.86,34779.86,34519.63,34584.88,577966300
DJT,20210917,14437.67,14491,14241.05,14267.96,129547400
DJU,20210917,915.49,920.2,902.95,903.8,105509000
DJWO,20210917,563.57,564.69,559.02,559.69,0
DLTC,20210917,4181.95,4181.95,4117.36,4123.83,0
DOWE,20210917,1964.04,1982.91,1935.25,1938.49,0
DRCI,20210917,333.98,335.22,331.22,331.6,0
DREI,20210917,466.1,467.87,462.11,462.62,0
DSAE,20210917,1462.64,1469.03,1452.34,1461.82,55237100
DSAF,20210917,1567.13,1584.43,1546.93,1549.26,9104400
DSAG,20210917,296.92,299,293.68,295.5,75312000
DSAI,20210917,1080.89,1080.89,1061.76,1063.8,23552700
DSAL,20210917,168.04,170.02,162.2,166.81,10515700
DSAM,20210917,3018.39,3047.79,3006.88,3035.27,77311000
DSAP,20210917,1116.74,1121.21,1105.36,1117.49,186266400
DSAR,20210917,196.03,198.43,192.62,194.44,72395400
DSAS,20210917,1506.11,1512.2,1492.58,1504.32,42383900
DSAT,20210917,588.35,588.35,577.15,582.31,34320500
DSAU,20210917,957.86,962.74,949.22,959.95,151945900
DSAV,20210917,746.13,748.9,738.67,743.6,23925600
DSBC,20210917,2039.65,2056.86,2030.23,2040.58,147573900
DSBD,20210917,1700.03,1700.03,1678.26,1680.34,54313800
DSBE,20210917,219.23,219.23,213.39,214.61,3368100
DSBK,20210917,557.68,562.26,555.6,557.84,383182900
DSBM,20210917,519.17,519.17,507.69,509.88,163904300
DSBS,20210917,283.38,283.38,274.67,276.9,75715100
DSBT,20210917,3011.09,3017.25,2984.57,3015.88,150797000
DSBV,20210917,898.09,898.09,886.94,887.71,71587200
DSCA,20210917,822.43,834.83,817.39,826.37,46539800
DSCC,20210917,648.21,648.21,635.68,641.01,33399800
DSCF,20210917,416.04,419.68,413.11,414.15,32057800
DSCG,20210917,1437.14,1444.78,1426.2,1430.73,280798700
DSCH,20210917,821.65,821.65,804.15,808.02,88189100
DSCM,20210917,735.88,739.15,731.43,731.6,24736200
DSCN,20210917,1292.29,1292.29,1276.4,1278.48,61235000
DSCP,20210917,524.34,524.34,513.06,514.37,35732500
DSCR,20210917,7455.94,7455.94,7310.56,7327.45,204647700
DSCS,20210917,2298.42,2298.99,2251.29,2254.17,22420300
DSCT,20210917,1623.61,1627.44,1607.36,1614.71,90909800
DSCX,20210917,1198.77,1198.77,1168.52,1171.8,54789300
DSCY,20210917,1642.33,1648.51,1633.16,1636.35,689802400
DSDB,20210917,595.17,595.17,583.36,586.31,3395800
DSDN,20210917,466.57,468.93,464.18,466.56,12853200
DSDR,20210917,951.48,953.36,945.93,948.93,59917900
DSDS,20210917,479.01,479.01,474.11,474.74,9670500
DSDT,20210917,68.97,69.34,68.25,68.27,5583900
DSDV,20210917,203.71,204.08,201.88,202.1,25852600
DSEC,20210917,531.86,531.93,522.47,525.5,34300800
DSEE,20210917,693.67,693.67,682.09,684.21,57853600
DSEH,20210917,70.45,71.25,69.02,69.5,641600
DSEN,20210917,413.46,417.26,409.1,410.12,461848000
DSES,20210917,348.17,350.09,345.66,347.72,22607000
DSEU,20210917,313.88,315.83,309.92,310.18,166981800
